OCR PIPELINE COMPARISON RESULTS
============================================================

Rank 1: deskew_grayscale_denoise(bilateral)_contrast
  Word Accuracy: 24.42%
  Line Accuracy: 0.00%
  Edit Distance: 22

Rank 140: deskew_grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(open)
  Overall Score: 12.51%
  Character Accuracy: 14.56%
  Word Accuracy: 17.44%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 141: grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(open)
  Overall Score: 12.51%
  Character Accuracy: 14.56%
  Word Accuracy: 17.44%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 142: aggressive
  Overall Score: 11.84%
  Character Accuracy: 5.16%
  Word Accuracy: 19.77%
  Line Accuracy: 16.67%
  Edit Distance: 14

Rank 143: deskew_grayscale_binarize(adaptive)_morph(erode)
  Overall Score: 11.72%
  Character Accuracy: 10.18%
  Word Accuracy: 22.09%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 144: grayscale_binarize(adaptive)_morph(erode)
  Overall Score: 11.72%
  Character Accuracy: 10.18%
  Word Accuracy: 22.09%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 145: deskew_grayscale_denoise(bilateral)_contrast_binarize(adaptive)_morph(open)
  Overall Score: 10.56%
  Character Accuracy: 10.66%
  Word Accuracy: 17.44%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 146: grayscale_denoise(bilateral)_contrast_binarize(adaptive)_morph(open)
  Overall Score: 10.56%
  Character Accuracy: 10.66%
  Word Accuracy: 17.44%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 147: deskew_grayscale_denoise(gaussian)_binarize(adaptive)_morph(close)
  Overall Score: 10.30%
  Character Accuracy: 19.21%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 43

Rank 148: grayscale_denoise(gaussian)_binarize(adaptive)_morph(close)
  Overall Score: 10.30%
  Character Accuracy: 19.21%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 43

Rank 149: deskew_grayscale_denoise(gaussian)_binarize(adaptive)_morph(open)
  Overall Score: 9.88%
  Character Accuracy: 5.80%
  Word Accuracy: 23.26%
  Line Accuracy: 0.00%
  Edit Distance: 15

Rank 150: grayscale_denoise(gaussian)_binarize(adaptive)_morph(open)
  Overall Score: 9.88%
  Character Accuracy: 5.80%
  Word Accuracy: 23.26%
  Line Accuracy: 0.00%
  Edit Distance: 15

Rank 151: deskew_grayscale_denoise(gaussian)_binarize(adaptive)_morph(erode)
  Overall Score: 9.81%
  Character Accuracy: 6.37%
  Word Accuracy: 22.09%
  Line Accuracy: 0.00%
  Edit Distance: 17

Rank 152: grayscale_denoise(gaussian)_binarize(adaptive)_morph(erode)
  Overall Score: 9.81%
  Character Accuracy: 6.37%
  Word Accuracy: 22.09%
  Line Accuracy: 0.00%
  Edit Distance: 17

Rank 153: deskew_grayscale_denoise(bilateral)_contrast_binarize(simple)_morph(erode)
  Overall Score: 9.21%
  Character Accuracy: 15.62%
  Word Accuracy: 4.65%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 154: grayscale_denoise(bilateral)_contrast_binarize(simple)_morph(erode)
  Overall Score: 9.21%
  Character Accuracy: 15.62%
  Word Accuracy: 4.65%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 155: deskew_grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 8.87%
  Character Accuracy: 7.97%
  Word Accuracy: 16.28%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 156: grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 8.87%
  Character Accuracy: 7.97%
  Word Accuracy: 16.28%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 157: deskew_grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(open)
  Overall Score: 8.78%
  Character Accuracy: 5.70%
  Word Accuracy: 19.77%
  Line Accuracy: 0.00%
  Edit Distance: 14

Rank 158: grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(open)
  Overall Score: 8.78%
  Character Accuracy: 5.70%
  Word Accuracy: 19.77%
  Line Accuracy: 0.00%
  Edit Distance: 14

Rank 159: deskew_grayscale_denoise(gaussian)_binarize(otsu)_morph(dilate)
  Overall Score: 8.70%
  Character Accuracy: 15.17%
  Word Accuracy: 0.00%
  Line Accuracy: 5.56%
  Edit Distance: 29

Rank 160: grayscale_denoise(gaussian)_binarize(otsu)_morph(dilate)
  Overall Score: 8.70%
  Character Accuracy: 15.17%
  Word Accuracy: 0.00%
  Line Accuracy: 5.56%
  Edit Distance: 29

Rank 161: deskew_grayscale_denoise(bilateral)_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 8.34%
  Character Accuracy: 8.31%
  Word Accuracy: 13.95%
  Line Accuracy: 0.00%
  Edit Distance: 17

Rank 162: grayscale_denoise(bilateral)_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 8.34%
  Character Accuracy: 8.31%
  Word Accuracy: 13.95%
  Line Accuracy: 0.00%
  Edit Distance: 17

Rank 163: deskew_grayscale_denoise(median)_contrast_morph(dilate)
  Overall Score: 7.81%
  Character Accuracy: 15.63%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 36

Rank 164: grayscale_denoise(median)_contrast_morph(dilate)
  Overall Score: 7.81%
  Character Accuracy: 15.63%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 36

Rank 165: deskew_grayscale_contrast_binarize(simple)_morph(open)
  Overall Score: 7.64%
  Character Accuracy: 6.08%
  Word Accuracy: 11.63%
  Line Accuracy: 5.56%
  Edit Distance: 10

Rank 166: grayscale_contrast_binarize(simple)_morph(open)
  Overall Score: 7.64%
  Character Accuracy: 6.08%
  Word Accuracy: 11.63%
  Line Accuracy: 5.56%
  Edit Distance: 10

Rank 167: deskew_grayscale_binarize(simple)_morph(open)
  Overall Score: 7.49%
  Character Accuracy: 11.48%
  Word Accuracy: 5.81%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 168: grayscale_binarize(simple)_morph(open)
  Overall Score: 7.49%
  Character Accuracy: 11.48%
  Word Accuracy: 5.81%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 169: deskew_grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(dilate)
  Overall Score: 7.06%
  Character Accuracy: 13.41%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 35

Rank 170: grayscale_denoise(bilateral)_contrast_binarize(otsu)_morph(dilate)
  Overall Score: 7.06%
  Character Accuracy: 13.41%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 35

Rank 171: deskew_grayscale_contrast_binarize(simple)_morph(erode)
  Overall Score: 6.31%
  Character Accuracy: 11.23%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 20

Rank 172: grayscale_contrast_binarize(simple)_morph(erode)
  Overall Score: 6.31%
  Character Accuracy: 11.23%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 20

Rank 173: deskew_grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(dilate)
  Overall Score: 6.04%
  Character Accuracy: 7.77%
  Word Accuracy: 3.49%
  Line Accuracy: 5.56%
  Edit Distance: 14

Rank 174: grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(dilate)
  Overall Score: 6.04%
  Character Accuracy: 7.77%
  Word Accuracy: 3.49%
  Line Accuracy: 5.56%
  Edit Distance: 14

Rank 175: deskew_grayscale_denoise(median)_contrast_binarize(simple)_morph(erode)
  Overall Score: 5.60%
  Character Accuracy: 11.20%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 25

Rank 176: grayscale_denoise(median)_contrast_binarize(simple)_morph(erode)
  Overall Score: 5.60%
  Character Accuracy: 11.20%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 25

Rank 177: deskew_grayscale_denoise(median)_morph(dilate)
  Overall Score: 5.51%
  Character Accuracy: 11.01%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 24

Rank 178: grayscale_denoise(median)_morph(dilate)
  Overall Score: 5.51%
  Character Accuracy: 11.01%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 24

Rank 179: deskew_grayscale_denoise(median)_binarize(adaptive)_morph(erode)
  Overall Score: 5.21%
  Character Accuracy: 9.02%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 180: grayscale_denoise(median)_binarize(adaptive)_morph(erode)
  Overall Score: 5.21%
  Character Accuracy: 9.02%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 181: deskew_grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(close)
  Overall Score: 5.07%
  Character Accuracy: 5.83%
  Word Accuracy: 3.49%
  Line Accuracy: 5.56%
  Edit Distance: 9

Rank 182: grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(close)
  Overall Score: 5.07%
  Character Accuracy: 5.83%
  Word Accuracy: 3.49%
  Line Accuracy: 5.56%
  Edit Distance: 9

Rank 183: deskew_grayscale_denoise(bilateral)_binarize(otsu)_morph(close)
  Overall Score: 5.06%
  Character Accuracy: 10.13%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 24

Rank 184: grayscale_denoise(bilateral)_binarize(otsu)_morph(close)
  Overall Score: 5.06%
  Character Accuracy: 10.13%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 24

Rank 185: deskew_grayscale_denoise(gaussian)_binarize(otsu)_morph(close)
  Overall Score: 4.99%
  Character Accuracy: 9.28%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 19

Rank 186: grayscale_denoise(gaussian)_binarize(otsu)_morph(close)
  Overall Score: 4.99%
  Character Accuracy: 9.28%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 19

Rank 187: deskew_grayscale_denoise(gaussian)_binarize(otsu)_morph(open)
  Overall Score: 4.97%
  Character Accuracy: 5.74%
  Word Accuracy: 6.98%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 188: grayscale_denoise(gaussian)_binarize(otsu)_morph(open)
  Overall Score: 4.97%
  Character Accuracy: 5.74%
  Word Accuracy: 6.98%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 189: deskew_grayscale_denoise(median)_binarize(adaptive)
  Overall Score: 4.86%
  Character Accuracy: 8.33%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 18

Rank 190: grayscale_denoise(median)_binarize(adaptive)
  Overall Score: 4.86%
  Character Accuracy: 8.33%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 18

Rank 191: deskew_grayscale_denoise(median)_binarize(simple)
  Overall Score: 4.66%
  Character Accuracy: 9.32%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 192: grayscale_denoise(median)_binarize(simple)
  Overall Score: 4.66%
  Character Accuracy: 9.32%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 193: deskew_grayscale_denoise(gaussian)_binarize(adaptive)_morph(dilate)
  Overall Score: 4.53%
  Character Accuracy: 9.07%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 26

Rank 194: grayscale_denoise(gaussian)_binarize(adaptive)_morph(dilate)
  Overall Score: 4.53%
  Character Accuracy: 9.07%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 26

Rank 195: deskew_grayscale_denoise(median)_contrast_binarize(simple)_morph(open)
  Overall Score: 4.49%
  Character Accuracy: 8.28%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 196: grayscale_denoise(median)_contrast_binarize(simple)_morph(open)
  Overall Score: 4.49%
  Character Accuracy: 8.28%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 21

Rank 197: deskew_grayscale_denoise(median)_binarize(simple)_morph(erode)
  Overall Score: 4.46%
  Character Accuracy: 8.93%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 198: grayscale_denoise(median)_binarize(simple)_morph(erode)
  Overall Score: 4.46%
  Character Accuracy: 8.93%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 23

Rank 199: deskew_grayscale_denoise(median)_contrast_binarize(simple)
  Overall Score: 4.34%
  Character Accuracy: 8.67%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 24

Rank 200: grayscale_denoise(median)_contrast_binarize(simple)
  Overall Score: 4.34%
  Character Accuracy: 8.67%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 24

Rank 201: deskew_grayscale_denoise(median)_binarize(otsu)_morph(dilate)
  Overall Score: 4.18%
  Character Accuracy: 8.37%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 22

Rank 202: grayscale_denoise(median)_binarize(otsu)_morph(dilate)
  Overall Score: 4.18%
  Character Accuracy: 8.37%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 22

Rank 203: deskew_grayscale_denoise(median)_contrast_binarize(otsu)_morph(dilate)
  Overall Score: 3.71%
  Character Accuracy: 7.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 19

Rank 204: grayscale_denoise(median)_contrast_binarize(otsu)_morph(dilate)
  Overall Score: 3.71%
  Character Accuracy: 7.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 19

Rank 205: deskew_grayscale_denoise(median)_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 3.64%
  Character Accuracy: 5.88%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 16

Rank 206: grayscale_denoise(median)_contrast_binarize(adaptive)_morph(erode)
  Overall Score: 3.64%
  Character Accuracy: 5.88%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 16

Rank 207: deskew_grayscale_denoise(median)
  Overall Score: 3.61%
  Character Accuracy: 7.23%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 16

Rank 208: grayscale_denoise(median)
  Overall Score: 3.61%
  Character Accuracy: 7.23%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 16

Rank 209: deskew_grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(close)
  Overall Score: 3.26%
  Character Accuracy: 4.43%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 210: grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(close)
  Overall Score: 3.26%
  Character Accuracy: 4.43%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 211: deskew_grayscale_denoise(median)_binarize(simple)_morph(open)
  Overall Score: 2.93%
  Character Accuracy: 5.86%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 13

Rank 212: grayscale_denoise(median)_binarize(simple)_morph(open)
  Overall Score: 2.93%
  Character Accuracy: 5.86%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 13

Rank 213: deskew_grayscale_denoise(median)_contrast_binarize(adaptive)_morph(close)
  Overall Score: 2.71%
  Character Accuracy: 5.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 214: grayscale_denoise(median)_contrast_binarize(adaptive)_morph(close)
  Overall Score: 2.71%
  Character Accuracy: 5.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 215: deskew_grayscale_denoise(median)_contrast_binarize(adaptive)_morph(open)
  Overall Score: 2.68%
  Character Accuracy: 3.95%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 216: grayscale_denoise(median)_contrast_binarize(adaptive)_morph(open)
  Overall Score: 2.68%
  Character Accuracy: 3.95%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 217: deskew_grayscale_denoise(median)_contrast_binarize(otsu)
  Overall Score: 2.65%
  Character Accuracy: 2.50%
  Word Accuracy: 4.65%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 218: grayscale_denoise(median)_contrast_binarize(otsu)
  Overall Score: 2.65%
  Character Accuracy: 2.50%
  Word Accuracy: 4.65%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 219: deskew_grayscale_binarize(simple)_morph(erode)
  Overall Score: 2.44%
  Character Accuracy: 4.18%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 220: grayscale_binarize(simple)_morph(erode)
  Overall Score: 2.44%
  Character Accuracy: 4.18%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 221: deskew_grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(open)
  Overall Score: 2.44%
  Character Accuracy: 2.78%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 14

Rank 222: grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(open)
  Overall Score: 2.44%
  Character Accuracy: 2.78%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 14

Rank 223: deskew_grayscale_denoise(median)_contrast_morph(erode)
  Overall Score: 2.27%
  Character Accuracy: 4.55%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 224: grayscale_denoise(median)_contrast_morph(erode)
  Overall Score: 2.27%
  Character Accuracy: 4.55%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 225: deskew_grayscale_denoise(gaussian)_binarize(otsu)_morph(erode)
  Overall Score: 2.22%
  Character Accuracy: 2.34%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 9

Rank 226: grayscale_denoise(gaussian)_binarize(otsu)_morph(erode)
  Overall Score: 2.22%
  Character Accuracy: 2.34%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 9

Rank 227: deskew_grayscale_denoise(median)_morph(close)
  Overall Score: 2.21%
  Character Accuracy: 4.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 228: grayscale_denoise(median)_morph(close)
  Overall Score: 2.21%
  Character Accuracy: 4.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 229: deskew_grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(close)
  Overall Score: 2.19%
  Character Accuracy: 4.39%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 230: grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(close)
  Overall Score: 2.19%
  Character Accuracy: 4.39%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 231: deskew_grayscale_denoise(median)_morph(erode)
  Overall Score: 2.17%
  Character Accuracy: 2.24%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 232: grayscale_denoise(median)_morph(erode)
  Overall Score: 2.17%
  Character Accuracy: 2.24%
  Word Accuracy: 3.49%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 233: deskew_grayscale_denoise(median)_binarize(adaptive)_morph(open)
  Overall Score: 2.11%
  Character Accuracy: 3.53%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 234: grayscale_denoise(median)_binarize(adaptive)_morph(open)
  Overall Score: 2.11%
  Character Accuracy: 3.53%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 11

Rank 235: deskew_grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(dilate)
  Overall Score: 2.02%
  Character Accuracy: 2.64%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 8

Rank 236: grayscale_denoise(gaussian)_contrast_binarize(adaptive)_morph(dilate)
  Overall Score: 2.02%
  Character Accuracy: 2.64%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 8

Rank 237: deskew_grayscale_denoise(median)_contrast_binarize(adaptive)
  Overall Score: 1.99%
  Character Accuracy: 2.58%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 238: grayscale_denoise(median)_contrast_binarize(adaptive)
  Overall Score: 1.99%
  Character Accuracy: 2.58%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 239: deskew_grayscale_denoise(median)_binarize(otsu)_morph(erode)
  Overall Score: 1.97%
  Character Accuracy: 3.95%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 240: grayscale_denoise(median)_binarize(otsu)_morph(erode)
  Overall Score: 1.97%
  Character Accuracy: 3.95%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 12

Rank 241: deskew_grayscale_denoise(median)_binarize(otsu)_morph(close)
  Overall Score: 1.93%
  Character Accuracy: 3.87%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 242: grayscale_denoise(median)_binarize(otsu)_morph(close)
  Overall Score: 1.93%
  Character Accuracy: 3.87%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 243: deskew_grayscale_denoise(bilateral)_binarize(otsu)_morph(dilate)
  Overall Score: 1.72%
  Character Accuracy: 3.44%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 8

Rank 244: grayscale_denoise(bilateral)_binarize(otsu)_morph(dilate)
  Overall Score: 1.72%
  Character Accuracy: 3.44%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 8

Rank 245: deskew_grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(erode)
  Overall Score: 1.63%
  Character Accuracy: 1.87%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 246: grayscale_denoise(gaussian)_contrast_binarize(otsu)_morph(erode)
  Overall Score: 1.63%
  Character Accuracy: 1.87%
  Word Accuracy: 2.33%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 247: deskew_grayscale_denoise(median)_binarize(otsu)
  Overall Score: 1.49%
  Character Accuracy: 2.28%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 248: grayscale_denoise(median)_binarize(otsu)
  Overall Score: 1.49%
  Character Accuracy: 2.28%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 10

Rank 249: deskew_grayscale_denoise(median)_contrast_binarize(otsu)_morph(erode)
  Overall Score: 1.47%
  Character Accuracy: 2.24%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 9

Rank 250: grayscale_denoise(median)_contrast_binarize(otsu)_morph(erode)
  Overall Score: 1.47%
  Character Accuracy: 2.24%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 9

Rank 251: deskew_grayscale_denoise(median)_binarize(adaptive)_morph(close)
  Overall Score: 1.40%
  Character Accuracy: 2.80%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 252: grayscale_denoise(median)_binarize(adaptive)_morph(close)
  Overall Score: 1.40%
  Character Accuracy: 2.80%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 253: deskew_grayscale_denoise(median)_binarize(adaptive)_morph(dilate)
  Overall Score: 1.26%
  Character Accuracy: 2.53%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 6

Rank 254: grayscale_denoise(median)_binarize(adaptive)_morph(dilate)
  Overall Score: 1.26%
  Character Accuracy: 2.53%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 6

Rank 255: deskew_grayscale_denoise(median)_contrast
  Overall Score: 1.17%
  Character Accuracy: 1.64%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 256: grayscale_denoise(median)_contrast
  Overall Score: 1.17%
  Character Accuracy: 1.64%
  Word Accuracy: 1.16%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 257: deskew_grayscale_contrast_binarize(otsu)_morph(close)
  Overall Score: 0.85%
  Character Accuracy: 1.69%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 258: deskew_grayscale_denoise(median)_contrast_binarize(adaptive)_morph(dilate)
  Overall Score: 0.85%
  Character Accuracy: 1.69%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 4

Rank 259: grayscale_contrast_binarize(otsu)_morph(close)
  Overall Score: 0.85%
  Character Accuracy: 1.69%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 260: grayscale_denoise(median)_contrast_binarize(adaptive)_morph(dilate)
  Overall Score: 0.85%
  Character Accuracy: 1.69%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 4

Rank 261: deskew_grayscale_binarize(adaptive)_morph(close)
  Overall Score: 0.84%
  Character Accuracy: 1.68%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 7

Rank 262: deskew_grayscale_contrast_binarize(adaptive)_morph(close)
  Overall Score: 0.84%
  Character Accuracy: 1.68%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 7

Rank 263: grayscale_binarize(adaptive)_morph(close)
  Overall Score: 0.84%
  Character Accuracy: 1.68%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 7

Rank 264: grayscale_contrast_binarize(adaptive)_morph(close)
  Overall Score: 0.84%
  Character Accuracy: 1.68%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 7

Rank 265: deskew_grayscale_binarize(otsu)_morph(close)
  Overall Score: 0.71%
  Character Accuracy: 1.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 266: grayscale_binarize(otsu)_morph(close)
  Overall Score: 0.71%
  Character Accuracy: 1.42%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 5

Rank 267: deskew_grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(dilate)
  Overall Score: 0.57%
  Character Accuracy: 1.13%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 3

Rank 268: grayscale_denoise(gaussian)_contrast_binarize(simple)_morph(dilate)
  Overall Score: 0.57%
  Character Accuracy: 1.13%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 3

Rank 269: deskew_grayscale_denoise(median)_contrast_binarize(otsu)_morph(close)
  Overall Score: 0.28%
  Character Accuracy: 0.57%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
  Edit Distance: 3

Rank 270: grayscale_denoise(median)_contrast_binarize(otsu)_morph(close)
  Overall Score: 0.28%
  Character Accuracy: 0.57%
  Word Accuracy: 0.00%
  Line Accuracy: 0.00%
